Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials
2018,14 Jun 2018 - 18:00 ,Group A,Luzhniki Stadium,Moscow ,Russia,5,0,Saudi Arabia, ,78011,2,0,IRMATOV Ravshan (UZB),RASULOV Bahadyr (UZB),KIM Dae-young (KOR),258620,300438007,RUS,KSA
2018,15 Jun 2018 - 12:00 ,Group A,Fisht Stadium,Sochi ,Egypt,0,1,Uruguay, ,41282,0,0,GOMES WINTER Mario (POR),SOARES Paulo (POR),FIGUEIREDO Bruno (POR),258620,300438010,EGY,URU
2018,19 Jun 2018 - 15:00 ,Group A,Saint Petersburg Stadium,Saint Petersburg ,Russia,3,0,Egypt, ,64468,3,0,CÜNEYT Cakir (TUR),BAHATTIN Duran (TUR),TAŞKIRAN Tarık (TUR),258620,300438013,RUS,EGY
2018,20 Jun 2018 - 18:00 ,Group A,Samara Arena,Samara ,Uruguay,1,0,Saudi Arabia, ,41892,0,0,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),258620,300438014,URU,KSA
2018,25 Jun 2018 - 15:00 ,Group A,Rostov Arena,Rostov-on-Don ,Uruguay,3,0,Russia, ,45011,0,0,IRMATOV Ravshan (UZB),RASULOV Bahadyr (UZB),KIM Dae-young (KOR),258620,300438017,URU,RUS
2018,25 Jun 2018 - 15:00 ,Group A,Volgograd Arena,Volgograd ,Saudi Arabia,2,1,Egypt, ,32896,1,0,HAIMOUDI Djamel (ALG),TAHRAT Abdelhamid (ALG),ACHIK Redouane (MAR),258620,300438016,KSA,EGY
2018,15 Jun 2018 - 15:00 ,Group B,Sochi Stadium,Sochi ,Morocco,0,1,Iran, ,41284,0,0,COLLUM William (SCO),MULVENNY Joe (SCO),CARTER Gary (IRL),258620,300438008,MAR,IRN
2018,15 Jun 2018 - 18:00 ,Group B,Luzhniki Stadium,Moscow ,Portugal,3,3,Spain, ,80698,2,1,ROCCHI Gianluca (ITA),RANGHETTI Lorenzo (ITA),TOLFO Alessandro (ITA),258620,300438009,POR,ESP
2018,20 Jun 2018 - 12:00 ,Group B,Mordovia Arena,Saransk ,Portugal,1,0,Morocco, ,41140,1,0,MARCINIAK Szymon (POL),LISTKIEWICZ Tomasz (POL),SOKOLNICKI Pawel (POL),258620,300438011,POR,MAR
2018,20 Jun 2018 - 15:00 ,Group B,Kazan Arena,Kazan ,Iran,0,1,Spain, ,44190,0,0,RUNGE Wilton (BRA),TAVARES Rodrigo (BRA),CERQUEIRA Bruno (BRA),258620,300438012,IRN,ESP
2018,25 Jun 2018 - 18:00 ,Group B,Luzhniki Stadium,Moscow ,Iran,1,1,Portugal, ,78011,0,1,GEIGER Mark (USA),FELICIANO Mark (USA),WENGER Joe (USA),258620,300438019,IRN,POR
2018,25 Jun 2018 - 18:00 ,Group B,Kaliningrad Stadium,Kaliningrad ,Spain,2,2,Morocco, ,35211,0,1,BRYCH Felix (GER),LUPP Mark (GER),ACHMÜLLER Stefan (GER),258620,300438018,ESP,MAR
